Rank,County,Population
1,Marion,944523
2,Lake ,486849
3,Allen ,370016
4,Hamilton ,316095
5,St. Joseph ,269240
6,Elkhart ,203604
7,Tippecanoe ,189294
8,Vanderburgh ,181313
9,Porter ,168041
10,Hendricks ,160940
11,Johnson ,151564
12,Monroe ,145403
13,Madison ,129505
14,Clark ,115702
15,Delaware ,115616
16,LaPorte ,110552
17,Vigo ,107693
18,Howard ,82387
19,Bartholomew ,81893
20,Kosciusko ,78806
21,Floyd ,76809
22,Hancock ,73830
23,Morgan ,69727
24,Grant ,66944
25,Wayne ,66613
26,Boone ,64321
27,Warrick ,61928
28,Dearborn ,49501
29,Henry ,48483
30,Noble ,47451
31,Marshall ,46595
32,Lawrence ,45619
33,Shelby ,44399
34,Jackson ,43938
35,DeKalb ,42704
36,Dubois ,42418
37,Harrison ,39712
38,LaGrange ,38942
39,Montgomery ,38276
40,Cass ,38084
41,Putnam ,37559
42,Knox ,37409
43,Huntington ,36378
44,Miami ,35901
45,Adams ,35195
46,Steuben ,34474
47,Whitley ,33649
48,Gibson ,33596
49,Jasper ,33449
50,Daviess ,32937
51,Clinton ,32301
52,Greene ,32295
53,Jefferson ,32237
54,Wabash ,31631
55,Ripley ,28425
56,Wells ,27947
57,Washington ,27827
58,Jennings ,27727
59,Decatur ,26552
60,Clay ,26268
61,Posey ,25589
62,Randolph ,25076
63,White ,24217
64,Scott ,23743
65,Fayette ,23259
66,Starke ,22941
67,Franklin ,22842
68,Jay ,20993
69,Owen ,20878
70,Sullivan ,20792
71,Spencer ,20526
72,Fulton ,20212
73,Carroll ,19994
74,Orange ,19547
75,Perry ,19141
76,Parke ,16996
77,Rush ,16704
78,Fountain ,16486
79,Vermillion ,15560
80,Tipton ,15218
81,Brown ,15034
82,Newton ,14018
83,Pulaski ,12660
84,Pike ,12411
85,Blackford ,12129
86,Switzerland ,10628
87,Crawford ,10581
88,Martin ,10210
89,Benton ,8667
90,Warren ,8247
91,Union ,7153
92,Ohio ,5887
